"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1064.7,26046.2,24488.1,-1558.1,-5.98,3.69,""
"HDFCBANK",6,716.85,965.2,4301.1,5791.2,1490.1,34.64,1.48,""
"IRFC",27,146.85,125.54,3964.95,3389.58,-575.37,-14.51,1.64,""
"JPASSOCIAT-BE",30,16.25,3.05,487.61,91.5,-396.11,-81.24,4.81,""
"JSWENERGY",1,728.7,536.55,728.7,536.55,-192.15,-26.37,1.05,""
"NHPC",13,89.95,86.37,1169.35,1122.81,-46.54,-3.98,0.06,""
"TATAMOTORS",10,769,718.15,7690,7181.5,-508.5,-6.61,5.54,""
"TATASTEEL",30,164.85,167.51,4945.5,5025.3,79.8,1.61,-0.75,""
"UJJIVANSFB",6,44.82,48.23,268.92,289.38,20.46,7.61,4.06,""
"VIKASLIFE",159,4.94,2.2,785.36,349.8,-435.56,-55.46,0.92,""
