Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,5,1840,1038.35,5191.75,-4008.25,-43.57,-5.34
HDFCBANK,3,1433.7,1749.3,5247.9,946.8,22.01,-2.23
IRFC,27,146.85,153.7,3964.95,184.95,4.66,-5.39
JPASSOCIAT,30,16.25,6.27,188.1,-299.51,-61.42,-4.94
JSWENERGY,1,728.7,634.45,634.45,-94.25,-12.93,-5.11
NHPC,13,89.95,83.09,1080.17,-89.18,-7.63,-4.6
RHFL,75,2.65,3.83,287.25,88.14,44.27,-1.83
RPOWER,55,17.09,45.8,2519,1579.05,167.99,-5
SUZLON,131,47.41,61.96,8116.76,1906.17,30.69,-4.97
TATASTEEL,30,164.85,138.36,4150.8,-794.7,-16.07,-4.47
UJJIVANSFB,6,44.82,34.45,206.7,-62.22,-23.14,-1.13
VIKASLIFE,154,5.03,4.28,659.12,-114.84,-14.84,-3.5
ZOMATO,30,127.85,272.85,"8,185.50",4350,113.41,-2.93
